#,Company,Symbol,Weight,Price,Chg,% Chg,Dividend
311,Carnival Corporation,CCL,0.061302,   42.65,-0.69,(-1.59%),0
312,Maxim Integrated Products Inc.,MXIM,0.061237,   62.34,-0.86,(-1.36%),0
313,Cincinnati Financial Corporation,CINF,0.060994,   111.97,-1.05,(-0.93%),0
314,Omnicom Group Inc,OMC,0.060871,   78.36,-0.27,(-0.34%),0
315,Dover Corporation,DOV,0.060599,   118.90,1.65,-1.41%,0
316,Ulta Beauty Inc,ULTA,0.060495,   299.33,2.47,-0.83%,0
317,Fortinet Inc.,FTNT,0.060211,   117.56,-1.64,(-1.38%),0
318,Kraft Heinz Company,KHC,0.060208,   27.51,0.2,-0.73%,0
319,Evergy Inc.,EVRG,0.060075,   73.44,-0.47,(-0.64%),0
320,Expedia Group Inc.,EXPE,0.060001,   121.53,-0.35,(-0.29%),0
321,International Paper Company,IP,0.05971,   42.88,0.18,-0.41%,0
322,Akamai Technologies Inc.,AKAM,0.059665,   101.18,-1.38,(-1.35%),0
323,MGM Resorts International,MGM,0.05955,   32.10,0.01,-0.02%,0
324,Citizens Financial Group Inc.,CFG,0.059465,   38.65,0.3,-0.77%,0
325,CarMax Inc.,KMX,0.059191,   101.99,1.86,-1.86%,0
326,Amcor PLC,AMCR,0.058786,   10.30,0.12,-1.18%,0
327,Kellogg Company,K,0.058724,   65.53,-0.77,(-1.16%),0
328,Concho Resources Inc.,CXO,0.058629,   81.46,-0.99,(-1.20%),0
329,Hess Corporation,HES,0.05858,   64.34,0.77,-1.21%,0
330,Mid-America Apartment Communities Inc.,MAA,0.058576,   146.13,1.1,-0.76%,0
331,Leidos Holdings Inc.,LDOS,0.057881,   118.50,-1.83,(-1.52%),0
332,Martin Marietta Materials Inc.,MLM,0.057367,   257.25,-1.42,(-0.55%),0
333,Paycom Software Inc.,PAYC,0.056839,   309.28,-15.21,(-4.69%),0
334,Regions Financial Corporation,RF,0.056526,   16.45,0.02,-0.09%,0
335,Xylem Inc.,XYL,0.055986,   88.71,0.75,-0.85%,0
336,Quest Diagnostics Incorporated,DGX,0.053696,   113.05,-0.43,(-0.38%),0
337,Citrix Systems Inc.,CTXS,0.053544,   119.34,-2.91,(-2.38%),0
338,Garmin Ltd.,GRMN,0.053331,   99.80,-3.87,(-3.73%),0
339,Darden Restaurants Inc.,DRI,0.052375,   120.20,-0.48,(-0.40%),0
340,UDR Inc.,UDR,0.052318,   50.61,0.43,-0.86%,0
